SocialPromptName,templatePromptText,packagedTemplatePromptTextForAI,socialPostType
TS_ABDCEStorytellingFramework,"Complete the ABDCE framework:
• Action
• Background
• Development
• Climax
• Ending
[[A]When I was (age), I (experienced something).]
[[B] In this next section, explain what happened. Where were you? Who were you with? What happened, and why did it matter so much to you at the time? Who else saw? What did you feel? What did you think was going to happen, and what happened instead?]
[[B] In one single bolded sentence, share the feeling you felt.]
[[D] Now, expand on that feeling. Develop it. How did the experience play out in the rest of your life? Did you carry it with you for a long time? How did it impact other things—like say, making friends, forming relationships, trusting other people, or your ability to pursue your dreams? Did you think about it often? What was the image, or the phrase, or the specific moment that came up for you time and time again? How did your interpretation of the event change as time went on?]
[[D] When did things start to change? What caused the change? How did you start growing in a different direction? What was the moment? Similar to [B], what happened? Where were you? Who were you with? What happened, and why did it matter so much to you at that time? Who else saw? What did you feel? What did you think was going to happen, and what happened instead?]
[[C] In one single bolded sentence, share the final moment of change.]
[[C] When was ""the transformation complete?"" What did you and your life look like before, and what did you and your life look like after?]
[[E] Finally, explain to the reader why this story matters. Why did you want to share it? What's the final morale you want the reader to be left with? What should the reader walk away thinking about differently? How can they learn from your story and apply those learnings to their own life?]
[[E] If you could summarize this story in one single sentence for the reader to end with, what would it be?]","##Complete the ABDCE framework:
• Action
• Background
• Development
• Climax
• Ending
[[A]When I was (age), I (experienced something).]
[[B] In this next section, explain what happened. Where were you? Who were you with? What happened, and why did it matter so much to you at the time? Who else saw? What did you feel? What did you think was going to happen, and what happened instead?]
[[B] In one single bolded sentence, share the feeling you felt.]
[[D] Now, expand on that feeling. Develop it. How did the experience play out in the rest of your life? Did you carry it with you for a long time? How did it impact other things—like say, making friends, forming relationships, trusting other people, or your ability to pursue your dreams? Did you think about it often? What was the image, or the phrase, or the specific moment that came up for you time and time again? How did your interpretation of the event change as time went on?]
[[D] When did things start to change? What caused the change? How did you start growing in a different direction? What was the moment? Similar to [B], what happened? Where were you? Who were you with? What happened, and why did it matter so much to you at that time? Who else saw? What did you feel? What did you think was going to happen, and what happened instead?]
[[C] In one single bolded sentence, share the final moment of change.]
[[C] When was ""the transformation complete?"" What did you and your life look like before, and what did you and your life look like after?]
[[E] Finally, explain to the reader why this story matters. Why did you want to share it? What's the final morale you want the reader to be left with? What should the reader walk away thinking about differently? How can they learn from your story and apply those learnings to their own life?]
[[E] If you could summarize this story in one single sentence for the reader to end with, what would it be?]

",longform
TS_careerMistakes,"{X} Profound Career Mistakes Everyone (From Intern To Executive) Should Avoid In Their Career
A few [Time] ago, I asked [X] [Niche] leaders one simple question:
“What early career mistake will you never make again?”
What I ended up walking away with was a messy notepad full of notes, a completely new way of seeing the world, and [X] profound mistakes everyone (from intern to executive) should avoid in their career.
Let’s dive in:
Mistake #1: [Mistake1]
Too often, [Role] choose to [WrongDecision].
They [WhyDecision]. They think [Logic]. Only to end up [BadOutcome].
Instead, [Role] should be focused on [RightDecision].
This is what ends up leading to [PositiveOutcome], [PositiveOutcome], and [PositiveOutcome].
Mistake #2: [Mistake2]
A good [Role] can [GoodOutcome].
A bad [Role] can [BadOutcome].
But a legendary [Role] can [GiantOutcome].
Don’t get it confused: a [GoodOutcome] is good, but it’s far from what makes the most difference.
Mistake #3: [Mistake3]
Until you’ve [Milestone], don’t take your eye off the ball.
[”RelevantQuote”].
To this day, I hang this quote up on my wall because it reminds me [Takeaway].
Mistake #4: [Mistake4]
Traditional wisdom says [TraditionalWisdom].
But that’s only true if you don’t do two things correctly:
[RightDecision1]
[RightDecision2]
Then, [TraditionalWisdom] works great.
Mistake #5: [Mistake5]
We all think we can [Decision].
We all think we have unlimited [Resource].
We all think we are immune to [Disaster].
But the truth is, we’re not.
Which is why it’s much better to operate from first principles, and [RightDecision] from the very beginning.","##{X} Profound Career Mistakes Everyone (From Intern To Executive) Should Avoid In Their Career
A few [Time] ago, I asked [X] [Niche] leaders one simple question:
“What early career mistake will you never make again?”
What I ended up walking away with was a messy notepad full of notes, a completely new way of seeing the world, and [X] profound mistakes everyone (from intern to executive) should avoid in their career.
Let’s dive in:
Mistake #1: [Mistake1]
Too often, [Role] choose to [WrongDecision].
They [WhyDecision]. They think [Logic]. Only to end up [BadOutcome].
Instead, [Role] should be focused on [RightDecision].
This is what ends up leading to [PositiveOutcome], [PositiveOutcome], and [PositiveOutcome].
Mistake #2: [Mistake2]
A good [Role] can [GoodOutcome].
A bad [Role] can [BadOutcome].
But a legendary [Role] can [GiantOutcome].
Don’t get it confused: a [GoodOutcome] is good, but it’s far from what makes the most difference.
Mistake #3: [Mistake3]
Until you’ve [Milestone], don’t take your eye off the ball.
[”RelevantQuote”].
To this day, I hang this quote up on my wall because it reminds me [Takeaway].
Mistake #4: [Mistake4]
Traditional wisdom says [TraditionalWisdom].
But that’s only true if you don’t do two things correctly:
[RightDecision1]
[RightDecision2]
Then, [TraditionalWisdom] works great.
Mistake #5: [Mistake5]
We all think we can [Decision].
We all think we have unlimited [Resource].
We all think we are immune to [Disaster].
But the truth is, we’re not.
Which is why it’s much better to operate from first principles, and [RightDecision] from the very beginning.

",longform
TS_categoryPOV,"Complete this template:
[In your chosen category, share one commonly held belief most people think is true (but is actually false/wrong/outdated/misunderstood/etc.).]
[Next, describe the problem in detail. Explain to the reader why this commonly held belief is so prevalent in society, or how it became a commonly held belief in the first place. And finally, tell the reader what this commonly held belief has resulted in.]
[List off a few examples:
Example #1
Example #2
Example #3]
[Now, in this subhead, tell the reader the reason this belief is flawed.]
[And in this first sentence, give the reader a concrete reason.]
[In this paragraph, expand on your argument. Share a personal story, or a study or stat that gives credibility and context to your perspective. And finally, tell the reader what new and different result they can expect if and when they abandon this old, commonly held belief and adopt this new perspective you're providing instead.]
[Now, tell them how: In this subhead, tell them how to shift their mindset from ""old"" to ""new.""]
[This first sentence is an actionable step they can take, right away.]
[Next, explain what they can expect as a result from shifting their mindset. What new advantages or benefits will they experience in their own life? Be specific, and paint a clear picture of the future.]
[Finally, in this subhead, tell the reader why the ""old"" is going away for good.]
[Bring them back to the beginning of the article, and drive home your point.]
[Give a few quick reasons why the ""old"" is on its way out, and this ""new"" way of thinking is the future. And to send them off, give them one final reminder/example of what this new future will look like—and why it will be so valuable for them to be part of it.]","##Complete this template:
[In your chosen category, share one commonly held belief most people think is true (but is actually false/wrong/outdated/misunderstood/etc.).]
[Next, describe the problem in detail. Explain to the reader why this commonly held belief is so prevalent in society, or how it became a commonly held belief in the first place. And finally, tell the reader what this commonly held belief has resulted in.]
[List off a few examples:
Example #1
Example #2
Example #3]
[Now, in this subhead, tell the reader the reason this belief is flawed.]
[And in this first sentence, give the reader a concrete reason.]
[In this paragraph, expand on your argument. Share a personal story, or a study or stat that gives credibility and context to your perspective. And finally, tell the reader what new and different result they can expect if and when they abandon this old, commonly held belief and adopt this new perspective you're providing instead.]
[Now, tell them how: In this subhead, tell them how to shift their mindset from ""old"" to ""new.""]
[This first sentence is an actionable step they can take, right away.]
[Next, explain what they can expect as a result from shifting their mindset. What new advantages or benefits will they experience in their own life? Be specific, and paint a clear picture of the future.]
[Finally, in this subhead, tell the reader why the ""old"" is going away for good.]
[Bring them back to the beginning of the article, and drive home your point.]
[Give a few quick reasons why the ""old"" is on its way out, and this ""new"" way of thinking is the future. And to send them off, give them one final reminder/example of what this new future will look like—and why it will be so valuable for them to be part of it.]

",longform
TS_dontOvercomplicateIt,"Most people overcomplicate [Topic].
Especially [Specific Example].
So, here's [Example 101].
[Step 1]
[Step 2]
[Step 3]
Once you get there, you can then focus on:
[Step 4]
[Step 5]
[Step 6]
The key to success?
With every action you take, figure out which one of these steps you are stuck at.
And then make a plan to progress to the next level.","##Most people overcomplicate [Topic].
Especially [Specific Example].
So, here's [Example 101].
[Step 1]
[Step 2]
[Step 3]
Once you get there, you can then focus on:
[Step 4]
[Step 5]
[Step 6]
The key to success?
With every action you take, figure out which one of these steps you are stuck at.
And then make a plan to progress to the next level.

",longform
TS_dontsDos,"[In this first sentence, tell the reader what they shouldn't do if they want to achieve X.]
[Why not? Explain to the reader why they shouldn't do this thing if they want to achieve X. What will happen if they make this mistake? Get specific. What is going to happen to them, their life, their goals and dreams and aspirations, their family and sense of freedom? How bad can things get?]
[Now, quickly make a bulleted list of what ELSE might happen if they make this mistake.
• Example
• Example
• Example
• Example]
[Finally, in one bolded sentence, tell the reader how you made this very same mistake.]
[Now, show them. Show the reader how there was once a time when you didn't know what you are now explaining, and how you made this mistake. And using the above examples, show the reader how this mistake played out in your life. Get specific. What happened? What was the result of this mistake? What did you think was going to happen, and what happened instead?]
[Then, tell the reader, ""Which is why I want to share this with you.""]
[In one bolded sentence, tell the reader what they should do instead.]
[Tell the reader, if you could go back in time, what you would do differently. What should the reader do instead? You've established all that can go wrong when you make this previous decision, now show the reader what life can look like on the other side—when you make the right decision.]
[List off a few specific examples of how good life can be, and what can be unlocked as a result of this decision.]
[• Example
• Example
• Example
• Example]
[Finally, tell the reader why it matters so much to you for them to listen and learn from your mistakes. What do you want for the reader? Why is this so important?]","##[In this first sentence, tell the reader what they shouldn't do if they want to achieve X.]
[Why not? Explain to the reader why they shouldn't do this thing if they want to achieve X. What will happen if they make this mistake? Get specific. What is going to happen to them, their life, their goals and dreams and aspirations, their family and sense of freedom? How bad can things get?]
[Now, quickly make a bulleted list of what ELSE might happen if they make this mistake.
• Example
• Example
• Example
• Example]
[Finally, in one bolded sentence, tell the reader how you made this very same mistake.]
[Now, show them. Show the reader how there was once a time when you didn't know what you are now explaining, and how you made this mistake. And using the above examples, show the reader how this mistake played out in your life. Get specific. What happened? What was the result of this mistake? What did you think was going to happen, and what happened instead?]
[Then, tell the reader, ""Which is why I want to share this with you.""]
[In one bolded sentence, tell the reader what they should do instead.]
[Tell the reader, if you could go back in time, what you would do differently. What should the reader do instead? You've established all that can go wrong when you make this previous decision, now show the reader what life can look like on the other side—when you make the right decision.]
[List off a few specific examples of how good life can be, and what can be unlocked as a result of this decision.]
[• Example
• Example
• Example
• Example]
[Finally, tell the reader why it matters so much to you for them to listen and learn from your mistakes. What do you want for the reader? Why is this so important?]

",longform
TS_lifelessons,"{X} Rules To Live A Life Filled With {Outcome1}, {Outcome2}, {Outcome3}
Over the past [X] years, I have:
[ShockingExperience]
[OvercomeObstacle]
[Accomplishment]
And all of these things have taught me a tremendous amount about what matters in life, and what doesn’t. (Plot twist: a lot of the things I used to care about, I don’t anymore. And things I used to not care very much about are now my top priorities.)
These are my new [X] rules for life:
[LifeRule1]
[ClarifyingStatement]
[LifeRule2]
[Description]
[LifeRule3]
[ClarifyingStatement]
[LifeRule4]
[Description]","##{X} Rules To Live A Life Filled With {Outcome1}, {Outcome2}, {Outcome3}
Over the past [X] years, I have:
[ShockingExperience]
[OvercomeObstacle]
[Accomplishment]
And all of these things have taught me a tremendous amount about what matters in life, and what doesn’t. (Plot twist: a lot of the things I used to care about, I don’t anymore. And things I used to not care very much about are now my top priorities.)
These are my new [X] rules for life:
[LifeRule1]
[ClarifyingStatement]
[LifeRule2]
[Description]
[LifeRule3]
[ClarifyingStatement]
[LifeRule4]
[Description]

",longform
TS_mostPeopleEither,"Most people either:
[Wrong Decision 1] or [Wrong Decision 2].
3 questions to ask when trying to [Goal]:
[Question 1]
[Question 2]
[Question 3]
If the answer is Yes to all 3 of these, it's worth doing.
Otherwise, it's a shiny object worth avoiding.","##Most people either:
[Wrong Decision 1] or [Wrong Decision 2].
3 questions to ask when trying to [Goal]:
[Question 1]
[Question 2]
[Question 3]
If the answer is Yes to all 3 of these, it's worth doing.
Otherwise, it's a shiny object worth avoiding.

",longform
TS_problemSolving,"My go-to method for [Solving Problem]:
[Single Sentence Answer]
Here's why that works:
[Benefit 1]
[Benefit 2]
[Benefit 3]
At first, you'll feel [Friction].
But then? You'll feel [No Friction].","##My go-to method for [Solving Problem]:
[Single Sentence Answer]
Here's why that works:
[Benefit 1]
[Benefit 2]
[Benefit 3]
At first, you'll feel [Friction].
But then? You'll feel [No Friction].

",longform
TS_powerfulTrait,"The most powerful character trait you can develop:
[Trait]
Here are 3 things [Trait] breeds:
[Benefit 1]
[Benefit 2]
[Benefit 3]
No wonder [Philosopher] said [Quote About Trait].","##The most powerful character trait you can develop:
[Trait]
Here are 3 things [Trait] breeds:
[Benefit 1]
[Benefit 2]
[Benefit 3]
No wonder [Philosopher] said [Quote About Trait].

",longform
TS_viralOpinions,"{X} Controversial Opinions On {Topic} 99% Of The World Agrees With—But I Do Not
I have been interested in [Topic] for a long time.
And over the past [NumberOfYears], I have come across a lot of strong opinions about [Topic] that, at first I agreed with, and then the more I learned and educated myself the more I disagreed with. Until eventually, I reached a point where I felt like the only reason these beliefs had become mainstream and commonly accepted was because “a lot of other people” agreed with them too.
So, I have some controversial opinions I’d like to share on [Topic] after [X] hours immersing myself in the subject:
[StrongOpinion1]
I’m not saying [SubtleDistinction].
I’m just saying [ClarifyingStatement].
[StrongOpinion2]
Contrary to popular belief, [ClicheAction] is a myth.
[FailureExample1]
[FailureExample2]
[FailureExample3]
[ClicheAction] is a fast-track to [UndesirableOutcome].
[StrongOpinion3]
“Most people” do what “most people” do.
Which leads to…
[NegativeStat1]
[NegativeStat2]
[NegativeStat3]
Clearly what “most people do” doesn’t work.
So do something else.
[StrongOpinion4]
99% of the time, this is a giant mistake.
Instead, [Name] has a great framework for achieving [Outcome] without falling into [Trap].
[Step1]
[Step2]
[Step3]
[StrongOpinion5]
Pursuing [Outcome] is a silly goal.
Because [UnconventionalReason].
[DifferentOutcome] is a better pursuit in life.
[Benefit1]
[Benefit2]
[Benefit3]","##{X} Controversial Opinions On {Topic} 99% Of The World Agrees With—But I Do Not
I have been interested in [Topic] for a long time.
And over the past [NumberOfYears], I have come across a lot of strong opinions about [Topic] that, at first I agreed with, and then the more I learned and educated myself the more I disagreed with. Until eventually, I reached a point where I felt like the only reason these beliefs had become mainstream and commonly accepted was because “a lot of other people” agreed with them too.
So, I have some controversial opinions I’d like to share on [Topic] after [X] hours immersing myself in the subject:
[StrongOpinion1]
I’m not saying [SubtleDistinction].
I’m just saying [ClarifyingStatement].
[StrongOpinion2]
Contrary to popular belief, [ClicheAction] is a myth.
[FailureExample1]
[FailureExample2]
[FailureExample3]
[ClicheAction] is a fast-track to [UndesirableOutcome].
[StrongOpinion3]
“Most people” do what “most people” do.
Which leads to…
[NegativeStat1]
[NegativeStat2]
[NegativeStat3]
Clearly what “most people do” doesn’t work.
So do something else.
[StrongOpinion4]
99% of the time, this is a giant mistake.
Instead, [Name] has a great framework for achieving [Outcome] without falling into [Trap].
[Step1]
[Step2]
[Step3]
[StrongOpinion5]
Pursuing [Outcome] is a silly goal.
Because [UnconventionalReason].
[DifferentOutcome] is a better pursuit in life.
[Benefit1]
[Benefit2]
[Benefit3]

",longform
TS_reasonsPeopleFail,"I have been doing X for a long time.
Over the years, I have learned that most people who want to achieve X end up failing because [why]. They think [myth], and never realize Y is what's actually holding them back. To be honest, it took me quite a while to learn this lesson too.
Here are some of the other reasons I've learned people fail at X:
Reason #1: People fail because why?
Reason #2: People fail because why?
Reason #3: People fail because why?
Overcoming failure is a crucial part of succeeding, moving forward, and making actionable progress.
But don't worry: we've all been there.","##I have been doing X for a long time.
Over the years, I have learned that most people who want to achieve X end up failing because [why]. They think [myth], and never realize Y is what's actually holding them back. To be honest, it took me quite a while to learn this lesson too.
Here are some of the other reasons I've learned people fail at X:
Reason #1: People fail because why?
Reason #2: People fail because why?
Reason #3: People fail because why?
Overcoming failure is a crucial part of succeeding, moving forward, and making actionable progress.
But don't worry: we've all been there.

",longform
TS_reasonsWhy,"5 Reasons Everyone Should X
I'm a big believer that X has the power to change your life.
I've been doing X for Y years, and since that time I have [list 3 positive outcomes]. Doing X has also helped me find my community of people, make new friends, and improve myself in ways I otherwise never would have. I recommend everyone start doing X.
And I have 5 specific reasons why:
Reason #1: [What is it, and why do you believe it's so important?]
Reason #2: [What is it, and why do you believe it's so important?]
Reason #3: [What is it, and why do you believe it's so important?]
Reason #4: [What is it, and why do you believe it's so important?]
Reason #5: [What is it, and why do you believe it's so important?]
If you start doing X, let me know—I'd love to connect with you (and answer any questions you have getting started!).","##5 Reasons Everyone Should X
I'm a big believer that X has the power to change your life.
I've been doing X for Y years, and since that time I have [list 3 positive outcomes]. Doing X has also helped me find my community of people, make new friends, and improve myself in ways I otherwise never would have. I recommend everyone start doing X.
And I have 5 specific reasons why:
Reason #1: [What is it, and why do you believe it's so important?]
Reason #2: [What is it, and why do you believe it's so important?]
Reason #3: [What is it, and why do you believe it's so important?]
Reason #4: [What is it, and why do you believe it's so important?]
Reason #5: [What is it, and why do you believe it's so important?]
If you start doing X, let me know—I'd love to connect with you (and answer any questions you have getting started!).

",longform
CreateNativeContent,"Create a native template for a social media post that aligns with [insert brand or campaign name]. The post should be engaging and visually appealing, tailored to the platform (e.g., Instagram, Twitter, Facebook). The design should reflect [insert tone, e.g., professional, fun, educational] and include [insert key elements like logo, brand colors, or specific imagery]. The template should be flexible enough to accommodate text, images, and calls to action while maintaining consistency with the brand's identity.","##Create a native template for a social media post that aligns with [insert brand or campaign name]. The post should be engaging and visually appealing, tailored to the platform (e.g., Instagram, Twitter, Facebook). The design should reflect [insert tone, e.g., professional, fun, educational] and include [insert key elements like logo, brand colors, or specific imagery]. The template should be flexible enough to accommodate text, images, and calls to action while maintaining consistency with the brand's identity.

",eduContent